t,X2,X2_dot,X2_ddot,theta3,theta3_dot,theta3_ddot,theta4,theta4_dot,theta4_ddot
0.42,0.18388209239094797,0.22844805960958275,-0.3576813804977661,4.979077288397647,-2.2538178002992337,-12.25424508093299,4.584739502940906,-2.7446351252137067,22.068055702087253
0.423,0.18456524690465864,0.2267931692164621,-0.7474305733305613,4.9722619229131295,-2.289343841947243,-11.424445693069531,4.576605061262495,-2.678276582595339,22.166765236908876
0.426,0.18524166596458244,0.22395280927731176,-1.1478415305720695,4.965343761978534,-2.32233312924645,-10.56331146361422,4.56867010123419,-2.6116605402995776,22.239470747826147
0.429,0.18590774742577246,0.21989637213048882,-1.5579919260412325,4.958330553224001,-2.3526937821597733,-9.672266339647376,4.560935275419204,-2.544867277954003,22.284661707019282
0.432,0.18655980072050884,0.21459618749099324,-1.976814810075041,4.9512303146099335,-2.3803385556138115,-8.753044112041858,4.5534009902202754,-2.4779814744362367,22.30094492742587
0.435,0.1871940562904274,0.2080280173367617,-2.4030925255175255,4.944051319783813,-2.405185910444293,-7.807710402653695,4.546067390718002,-2.411091772153594,22.287076841699804
0.438,0.1878066805156405,0.2001715475859327,-2.8354538792718174,4.93680207129062,-2.4271611187476454,-6.838678369845258,4.538934351486503,-2.344290223464806,22.24199518956887
0.441,0.18839378172403262,0.19101074157084072,-3.2723698489817714,4.929491291322803,-2.446197066677673,-5.848727160461603,4.532001466450243,-2.2776718616034897,22.164849956754697
0.444,0.1889514286836255,0.18053444077865752,-3.7121549438907095,4.922127887757407,-2.462235670449644,-4.841009474609573,4.525268040064496,-2.2113338241348375,22.055034246009168
0.447,0.18947566678521716,0.16873677803034703,-4.152970342133504,4.914720923124188,-2.4752288801057665,-3.8190548645910587,4.518733084603059,-2.145374662133119,21.912211616536226
0.45,0.1899625280216682,0.15561757548438807,-4.592826844436132,4.907279596454553,-2.485139666653337,-2.786772890457159,4.5123953141363975,-2.079893607024435,21.736341705933675
0.453,0.19040805588280058,0.14118289150823127,-5.029595664986829,4.8998131939258105,-2.4919434317022793,-1.748439941269572,4.506253145870336,-2.014989412218435,21.52770191765206
0.456,0.1908083222296251,0.1254453430493528,-5.461019386835588,4.892331054747362,-2.49562887543906,-0.708684286237179,4.500304703234643,-1.9507595581676187,21.286903812174366
0.459,0.19115944440774826,0.10842448885902572,-5.884725439819448,4.884842536414207,-2.4961990615819154,0.3275351360396866,4.49454781891361,-1.8872992035643024,21.014905447538382
0.462,0.19145761224677976,0.09014717084010711,-6.298246424429649,4.877356958134916,-2.493672439722872,1.3549655139390027,4.48898004661962,-1.8247000322189417,20.713016114853573
0.465,0.19169910507535745,0.0706477369639286,-6.699039298641736,4.869883564564141,-2.48808356183708,2.3680964962453586,4.483598670046544,-1.7630493481444753,20.382895659477267
0.468,0.1918803183110851,0.04996825439467187,-7.084510955220857,4.86243146825125,-2.479483869006771,3.3612116276209547,4.4784007200797165,-1.7024289002455617,20.026545629837926
0.47100000000000003,0.19199778420431954,0.02815861005252432,-7.452043821723606,4.855009603889944,-2.467942173908637,4.328441957659385,4.473382990874382,-1.642913985448158,19.64629389945249
0.47400000000000003,0.19204819719966812,0.005276543614235736,-7.79902535721612,4.847626671418451,-2.453545057423521,5.263829988954908,4.468542062489183,-1.5845724192609287,19.244771176357023
0.47700000000000004,0.19202843628548877,-0.018612410802215665,-8.122877819547952,4.840291085143555,-2.436397017441179,6.161396344718242,4.463874323158593,-1.5274637333704335,18.82488105016073
0.48,0.19193558875889133,-0.043435079921244055,-8.421089678961216,4.833010918473706,-2.4166204329616376,7.015212115167493,4.459375996445907,-1.4716383680353116,18.389762998074346
0.483,0.19176697239344628,-0.06911088951202701,-8.691246750145584,4.825793851736824,-2.3943553073258412,7.819472570505721,4.455043168534014,-1.4171370550686972,17.942749991497553
0.486,0.1915201577002579,-0.09555221563222249,-8.931063257883142,4.818647118552989,-2.369758764823317,8.56857266715473,4.450871819246878,-1.363990288020535,17.487320828755518
0.489,0.191192987634878,-0.1226647939477727,-9.138410923517807,4.811577457528406,-2.3430043759791666,9.257179828674456,4.446857851992097,-1.312217973295041,17.027049617278074
0.492,0.19078359784884652,-0.1503482631328696,-9.311347046720872,4.8045910616108625,-2.314281179253426,9.880306021409208,4.44299712748039,-1.2618292171482444,16.56555197328071
0.495,0.19029043290028827,-0.17849672420645657,-9.448138768133827,4.7976935362569035,-2.283792615094731,10.433372436017073,4.43928549451766,-1.2128222818474568,16.10643170624019
0.498,0.18971226308196676,-0.2069994422956356,-9.54728541812226,4.7908898552875705,-2.251755130014518,10.912270829174643,4.435718824051526,-1.1651847081611983,15.65322671607837
0.501,0.18904819676197568,-0.2357415321818741,-9.60753602527372,4.784184326688367,-2.218396763053046,11.313414464367092,4.43229303949667,-1.118893579672721,15.20935835690756
0.504,0.1882976926307281,-0.2646047663031216,-9.627903998545392,4.777580558005116,-2.1839554390981952,11.633782960947967,4.429004148718608,-1.0739159582342281,14.778082813382547
0.507,0.18746056775137349,-0.2934683525895755,-9.607676782534483,4.771081431100483,-2.148677279834344,11.870955602343154,4.425848272373974,-1.0302094346779689,14.362448095316664
0.51,0.18653700461257497,-0.32220978974292885,-9.546422135724978,4.764689078926921,-2.1128147193296702,12.023136609871516,4.422821671912713,-0.9877228179748437,13.965255525596644
0.513,0.18552755452403563,-0.3507056994688103,-9.44398983162549,4.758404870425754,-2.0766246274824596,12.089169316897491,4.419920774510738,-0.9463969276802526,13.589027938284646
0.516,0.1844331393648152,-0.37883267182368563,-9.300509989107844,4.7522293993643325,-2.040366385545233,12.068541718882136,4.417142195710376,-0.9061654556977404,13.235984063582844
0.519,0.18325505005488757,-0.4064681086902954,-9.116387623599291,4.746162480339746,-2.004299928155937,11.961382390338292,4.414482759643954,-0.8669559336828817,12.908019707765856
0.522,0.18199494330700683,-0.43349101825205943,-8.892294451715628,4.7402031493003385,-1.968683885745659,11.768448788932249,4.411939515690734,-0.8286906858430636,12.60669564939757
0.525,0.18065483511985203,-0.4597828240474746,-8.629157780523148,4.734349671114731,-1.933773661637377,11.491107781941196,4.409509752949258,-0.7912878889483728,12.333231714245928
0.528,0.17923709302168764,-0.48522808416713936,-8.328147720202026,4.728599550861505,-1.8998197129161636,11.131310848695204,4.407191010831049,-0.7546625455605297,12.088506904272903
0.531,0.17774442484831396,-0.5097152276646651,-7.990662282485998,4.722949552635391,-1.8670657648349283,10.691563418985796,4.404981087254116,-0.7187275542251548,11.873064634686644
0.534,0.17617986698824192,-0.5331371868793611,-7.618311997227469,4.717395720534827,-1.8357472718380052,10.174891721139224,4.402878043411007,-0.6833946477918862,11.687122502523772
0.537,0.1745467690045504,-0.555392034370647,-7.212903123368763,4.711933407621287,-1.8060898453383047,9.584805606999408,4.4008802056979475,-0.6485754033788852,11.530585833382966
0.54,0.17284877830703058,-0.5763835277933226,-6.776421370378737,4.706557305629433,-1.7783079086069928,8.925261474407208,4.398986165080671,-0.6141821096775651,11.403063837726656
0.543,0.1710898214438597,-0.596021631944167,-6.311014888932149,4.701261482319294,-1.752603385506185,8.20062298846757,4.397194773249006,-0.5801286644739196,11.303888103254302
0.546,0.1692740854523699,-0.6142229829996035,-5.818978267985726,4.696039419255999,-1.7291645417376493,7.415623508322518,4.395505137036014,-0.5463313544966477,11.232131854893067
0.549,0.16740599685127747,-0.6309112915366678,-5.302736574322152,4.6908840552674205,-1.7081649525305467,6.57532834229662,4.393916609677296,-0.5127096103956335,11.186630051505809
0.552,0.16549019976103502,-0.6460177344636373,-4.764830199633673,4.685787831983768,-1.6897625144170418,5.685098808088499,4.3924287806460605,-0.47918669754859555,11.16599890724882
0.555,0.16353153366969736,-0.6594812458535804,-4.207900724314449,4.68074274095294,-1.6740986800953725,4.750558548320121,4.391041463128383,-0.44569032287348853,11.168654696412647
0.558,0.1615350084030182,-0.6712488414136151,-3.6346766872742355,4.675740376690225,-1.6612976284944412,3.777560137185202,4.389754679538719,-0.4121532432212671,11.192831392864985
0.561,0.1595057815398739,-0.6812758123281142,-3.0479615018013577,4.670771985392533,-1.6514657310747374,2.772156653022821,4.388568646296403,-0.3785137408988511,11.236596050861758
0.5640000000000001,0.15744913054553888,-0.689525981560537,-2.450619914501924,4.665828524796699,-1.6446908772284938,1.7405708747080912,4.387483755319295,-0.34471615963683666,11.297863185859736
0.5670000000000001,0.15537043027416755,-0.6959718197596746,-1.8455676366891147,4.66090071338685,-1.6410421232853256,0.6891718663345875,4.386500556867203,-0.31071128184595503,11.374405585942663
0.5700000000000001,0.15327512289399067,-0.7005946279883316,-1.2357580919065714,4.655979095732643,-1.640569178360723,-0.3755538064200671,4.385619737402232,-0.27645680463212724,11.463864847072115
